2026-01-28 04:22:54,107 | INFO | Run started: run_id=BE_temporary__retrain_p2_all_seen_fit__042254
2026-01-28 04:22:54,107 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_042245__domain_temporary\runs\BE_temporary__retrain_p2_all_seen_fit__042254
2026-01-28 04:22:54,417 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.04000043869018555 cpu=0.046875 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9432, 'pre_f1_macro': 0.846040686892728}
2026-01-28 04:22:54,508 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=3500 wall=0.06699800491333008 cpu=0.0625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 3500, 'global_batch_id': 7}
2026-01-28 04:22:54,614 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=4500 wall=0.0729990005493164 cpu=0.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 4500, 'global_batch_id': 9}
2026-01-28 04:22:54,728 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.0879976749420166 cpu=0.0625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-28 04:22:54,872 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.11799979209899902 cpu=0.125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-28 04:22:55,001 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.10800004005432129 cpu=0.109375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-28 04:22:55,139 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=0.11957859992980957 cpu=0.109375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-28 04:22:55,285 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=9500 wall=0.12800002098083496 cpu=0.125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 9500, 'global_batch_id': 19}
2026-01-28 04:22:55,443 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=10500 wall=0.1400001049041748 cpu=0.140625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 10500, 'global_batch_id': 21}
2026-01-28 04:22:55,611 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=11500 wall=0.1490001678466797 cpu=0.15625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 11500, 'global_batch_id': 23}
2026-01-28 04:22:55,809 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=12500 wall=0.17800307273864746 cpu=0.1875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 12500, 'global_batch_id': 25}
2026-01-28 04:22:56,013 | INFO | EVENT retrain_fit batch_id=27 reason=periodic train_n=13500 wall=0.17968225479125977 cpu=0.1875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 13500, 'global_batch_id': 27}
2026-01-28 04:22:56,233 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=14500 wall=0.19324564933776855 cpu=0.203125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 14500, 'global_batch_id': 29}
2026-01-28 04:22:56,465 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=15500 wall=0.2077782154083252 cpu=0.203125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 15500, 'global_batch_id': 31}
2026-01-28 04:22:56,712 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=16500 wall=0.22154688835144043 cpu=0.21875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 16500, 'global_batch_id': 33}
2026-01-28 04:22:56,981 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=17500 wall=0.24250555038452148 cpu=0.25 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 17500, 'global_batch_id': 35}
2026-01-28 04:22:57,260 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=18500 wall=0.25299954414367676 cpu=0.25 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 18500, 'global_batch_id': 37}
2026-01-28 04:22:57,552 | INFO | EVENT retrain_fit batch_id=39 reason=periodic train_n=19500 wall=0.2673177719116211 cpu=0.265625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 19500, 'global_batch_id': 39}
2026-01-28 04:22:57,884 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=20500 wall=0.3063211441040039 cpu=0.296875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 36, 'buffer_size': 20500, 'global_batch_id': 41}
2026-01-28 04:22:58,210 | INFO | EVENT retrain_fit batch_id=43 reason=periodic train_n=21500 wall=0.3009986877441406 cpu=0.296875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 38, 'buffer_size': 21500, 'global_batch_id': 43}
2026-01-28 04:22:58,222 | INFO | Run finished. total={'wall_sec': 4.114972352981567, 'cpu_sec': 4.046875, 'cpu_pct': 98.34513218704309, 'rss_mb': None} peak_rss_mb=None
