2026-01-28 04:19:17,576 | INFO | Run started: run_id=BE_temporary__retrain_p1_last_window_wb1_fit__041917
2026-01-28 04:19:17,576 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041853__domain_temporary\runs\BE_temporary__retrain_p1_last_window_wb1_fit__041917
2026-01-28 04:19:17,907 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.06299710273742676 cpu=0.0625 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9144, 'pre_f1_macro': 0.5241500519432466}
2026-01-28 04:19:17,941 | INFO | EVENT retrain_fit batch_id=6 reason=periodic train_n=500 wall=0.020000696182250977 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 6}
2026-01-28 04:19:18,007 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=500 wall=0.05157613754272461 cpu=0.046875 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-28 04:19:18,038 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=500 wall=0.016998291015625 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-28 04:19:18,067 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=500 wall=0.015777587890625 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-28 04:19:18,089 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=500 wall=0.011852502822875977 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-28 04:19:18,123 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=500 wall=0.01832747459411621 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-28 04:19:18,151 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=500 wall=0.013884782791137695 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-28 04:19:18,179 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=500 wall=0.012729406356811523 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 13}
