2026-01-28 04:11:41,014 | INFO | Run started: run_id=BE_gradual__retrain_p2_all_seen_fit__041141
2026-01-28 04:11:41,014 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041128__domain_gradual_lr\runs\BE_gradual__retrain_p2_all_seen_fit__041141
2026-01-28 04:11:41,354 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.06300091743469238 cpu=0.0625 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9144, 'pre_f1_macro': 0.5241500519432466}
2026-01-28 04:11:41,456 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=3500 wall=0.07436037063598633 cpu=0.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 3500, 'global_batch_id': 7}
2026-01-28 04:11:41,590 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=4500 wall=0.10332536697387695 cpu=0.109375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 4500, 'global_batch_id': 9}
2026-01-28 04:11:41,768 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=5500 wall=0.14197158813476562 cpu=0.140625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 5500, 'global_batch_id': 11}
2026-01-28 04:11:41,942 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=6500 wall=0.14799880981445312 cpu=0.140625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 6500, 'global_batch_id': 13}
2026-01-28 04:11:42,138 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=7500 wall=0.16810154914855957 cpu=0.171875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 7500, 'global_batch_id': 15}
2026-01-28 04:11:42,365 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=8500 wall=0.19899821281433105 cpu=0.203125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 8500, 'global_batch_id': 17}
2026-01-28 04:11:42,600 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=9500 wall=0.20999956130981445 cpu=0.203125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 9500, 'global_batch_id': 19}
2026-01-28 04:11:42,870 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=10500 wall=0.2438664436340332 cpu=0.234375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 10500, 'global_batch_id': 21}
2026-01-28 04:11:43,152 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=11500 wall=0.2573575973510742 cpu=0.265625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 11500, 'global_batch_id': 23}
2026-01-28 04:11:43,446 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=12500 wall=0.2674989700317383 cpu=0.265625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 12500, 'global_batch_id': 25}
2026-01-28 04:11:43,771 | INFO | EVENT retrain_fit batch_id=27 reason=periodic train_n=13500 wall=0.3006110191345215 cpu=0.296875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 13500, 'global_batch_id': 27}
2026-01-28 04:11:44,126 | INFO | EVENT retrain_fit batch_id=29 reason=periodic train_n=14500 wall=0.330718994140625 cpu=0.328125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 14500, 'global_batch_id': 29}
2026-01-28 04:11:44,514 | INFO | EVENT retrain_fit batch_id=31 reason=periodic train_n=15500 wall=0.36400628089904785 cpu=0.375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 15500, 'global_batch_id': 31}
2026-01-28 04:11:44,884 | INFO | EVENT retrain_fit batch_id=33 reason=periodic train_n=16500 wall=0.34399890899658203 cpu=0.34375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 16500, 'global_batch_id': 33}
2026-01-28 04:11:45,283 | INFO | EVENT retrain_fit batch_id=35 reason=periodic train_n=17500 wall=0.37629032135009766 cpu=0.375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 17500, 'global_batch_id': 35}
2026-01-28 04:11:45,692 | INFO | EVENT retrain_fit batch_id=37 reason=periodic train_n=18500 wall=0.38046932220458984 cpu=0.390625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 18500, 'global_batch_id': 37}
2026-01-28 04:11:46,135 | INFO | EVENT retrain_fit batch_id=39 reason=periodic train_n=19500 wall=0.41397905349731445 cpu=0.421875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 19500, 'global_batch_id': 39}
2026-01-28 04:11:46,580 | INFO | EVENT retrain_fit batch_id=41 reason=periodic train_n=20500 wall=0.4236786365509033 cpu=0.40625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 36, 'buffer_size': 20500, 'global_batch_id': 41}
2026-01-28 04:11:47,029 | INFO | EVENT retrain_fit batch_id=43 reason=periodic train_n=21500 wall=0.42662763595581055 cpu=0.4375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 38, 'buffer_size': 21500, 'global_batch_id': 43}
2026-01-28 04:11:47,040 | INFO | Run finished. total={'wall_sec': 6.025397539138794, 'cpu_sec': 5.984375, 'cpu_pct': 99.3191729031599, 'rss_mb': None} peak_rss_mb=None
