2026-01-28 04:12:55,526 | INFO | Run started: run_id=BE_gradual__retrain_p1_last_window_wb1_update__041255
2026-01-28 04:12:55,526 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041236__domain_gradual_sgd\runs\BE_gradual__retrain_p1_last_window_wb1_update__041255
2026-01-28 04:12:55,829 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.04000115394592285 cpu=0.03125 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9452, 'pre_f1_macro': 0.7665352674892351}
2026-01-28 04:12:55,849 | INFO | EVENT retrain_update batch_id=6 reason=periodic train_n=500 wall=0.007999420166015625 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 6}
2026-01-28 04:12:55,879 | INFO | EVENT retrain_update batch_id=7 reason=periodic train_n=500 wall=0.009002923965454102 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-28 04:12:55,900 | INFO | EVENT retrain_update batch_id=8 reason=periodic train_n=500 wall=0.007077217102050781 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-28 04:12:55,918 | INFO | EVENT retrain_update batch_id=9 reason=periodic train_n=500 wall=0.007999658584594727 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-28 04:12:55,936 | INFO | EVENT retrain_update batch_id=10 reason=periodic train_n=500 wall=0.007999897003173828 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-28 04:12:55,956 | INFO | EVENT retrain_update batch_id=11 reason=periodic train_n=500 wall=0.008162498474121094 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-28 04:12:55,975 | INFO | EVENT retrain_update batch_id=12 reason=periodic train_n=500 wall=0.007999420166015625 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-28 04:12:55,993 | INFO | EVENT retrain_update batch_id=13 reason=periodic train_n=500 wall=0.006998777389526367 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-28 04:12:56,012 | INFO | EVENT retrain_update batch_id=14 reason=periodic train_n=500 wall=0.007085323333740234 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-28 04:12:56,032 | INFO | EVENT retrain_update batch_id=15 reason=periodic train_n=500 wall=0.009002447128295898 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-28 04:12:56,052 | INFO | EVENT retrain_update batch_id=16 reason=periodic train_n=500 wall=0.008002042770385742 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-28 04:12:56,074 | INFO | EVENT retrain_update batch_id=17 reason=periodic train_n=500 wall=0.007999658584594727 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-28 04:12:56,091 | INFO | EVENT retrain_update batch_id=18 reason=periodic train_n=500 wall=0.0070018768310546875 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-28 04:12:56,110 | INFO | EVENT retrain_update batch_id=19 reason=periodic train_n=500 wall=0.007999897003173828 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-28 04:12:56,129 | INFO | EVENT retrain_update batch_id=20 reason=periodic train_n=500 wall=0.008002758026123047 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-28 04:12:56,147 | INFO | EVENT retrain_update batch_id=21 reason=periodic train_n=500 wall=0.00799870491027832 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-28 04:12:56,165 | INFO | EVENT retrain_update batch_id=22 reason=periodic train_n=500 wall=0.0069997310638427734 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-28 04:12:56,185 | INFO | EVENT retrain_update batch_id=23 reason=periodic train_n=500 wall=0.008000850677490234 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-28 04:12:56,203 | INFO | EVENT retrain_update batch_id=24 reason=periodic train_n=500 wall=0.008002519607543945 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 500, 'global_batch_id': 24}
2026-01-28 04:12:56,220 | INFO | EVENT retrain_update batch_id=25 reason=periodic train_n=500 wall=0.0070002079010009766 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 500, 'global_batch_id': 25}
2026-01-28 04:12:56,235 | INFO | EVENT retrain_update batch_id=26 reason=periodic train_n=500 wall=0.005998849868774414 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 500, 'global_batch_id': 26}
2026-01-28 04:12:56,252 | INFO | EVENT retrain_update batch_id=27 reason=periodic train_n=500 wall=0.007001638412475586 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 22, 'buffer_size': 500, 'global_batch_id': 27}
2026-01-28 04:12:56,269 | INFO | EVENT retrain_update batch_id=28 reason=periodic train_n=500 wall=0.006007194519042969 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 23, 'buffer_size': 500, 'global_batch_id': 28}
2026-01-28 04:12:56,286 | INFO | EVENT retrain_update batch_id=29 reason=periodic train_n=500 wall=0.007997751235961914 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 500, 'global_batch_id': 29}
2026-01-28 04:12:56,302 | INFO | EVENT retrain_update batch_id=30 reason=periodic train_n=500 wall=0.005999565124511719 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 500, 'global_batch_id': 30}
2026-01-28 04:12:56,317 | INFO | EVENT retrain_update batch_id=31 reason=periodic train_n=500 wall=0.005999088287353516 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 500, 'global_batch_id': 31}
2026-01-28 04:12:56,334 | INFO | EVENT retrain_update batch_id=32 reason=periodic train_n=500 wall=0.006001472473144531 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 500, 'global_batch_id': 32}
2026-01-28 04:12:56,350 | INFO | EVENT retrain_update batch_id=33 reason=periodic train_n=500 wall=0.00600123405456543 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 500, 'global_batch_id': 33}
2026-01-28 04:12:56,366 | INFO | EVENT retrain_update batch_id=34 reason=periodic train_n=500 wall=0.006999969482421875 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 500, 'global_batch_id': 34}
2026-01-28 04:12:56,384 | INFO | EVENT retrain_update batch_id=35 reason=periodic train_n=500 wall=0.006998300552368164 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 500, 'global_batch_id': 35}
2026-01-28 04:12:56,399 | INFO | EVENT retrain_update batch_id=36 reason=periodic train_n=500 wall=0.007001399993896484 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 31, 'buffer_size': 500, 'global_batch_id': 36}
2026-01-28 04:12:56,417 | INFO | EVENT retrain_update batch_id=37 reason=periodic train_n=500 wall=0.00599980354309082 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 32, 'buffer_size': 500, 'global_batch_id': 37}
2026-01-28 04:12:56,432 | INFO | EVENT retrain_update batch_id=38 reason=periodic train_n=500 wall=0.00699925422668457 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 33, 'buffer_size': 500, 'global_batch_id': 38}
2026-01-28 04:12:56,447 | INFO | EVENT retrain_update batch_id=39 reason=periodic train_n=500 wall=0.006998300552368164 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 34, 'buffer_size': 500, 'global_batch_id': 39}
2026-01-28 04:12:56,464 | INFO | EVENT retrain_update batch_id=40 reason=periodic train_n=500 wall=0.008000373840332031 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 35, 'buffer_size': 500, 'global_batch_id': 40}
2026-01-28 04:12:56,478 | INFO | EVENT retrain_update batch_id=41 reason=periodic train_n=500 wall=0.005997419357299805 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 36, 'buffer_size': 500, 'global_batch_id': 41}
2026-01-28 04:12:56,493 | INFO | EVENT retrain_update batch_id=42 reason=periodic train_n=500 wall=0.006002664566040039 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 37, 'buffer_size': 500, 'global_batch_id': 42}
2026-01-28 04:12:56,511 | INFO | EVENT retrain_update batch_id=43 reason=periodic train_n=500 wall=0.0069997310638427734 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 38, 'buffer_size': 500, 'global_batch_id': 43}
2026-01-28 04:12:56,526 | INFO | EVENT retrain_update batch_id=44 reason=periodic train_n=500 wall=0.006001472473144531 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 39, 'buffer_size': 500, 'global_batch_id': 44}
2026-01-28 04:12:56,526 | INFO | Run finished. total={'wall_sec': 0.9995419979095459, 'cpu_sec': 0.953125, 'cpu_pct': 95.35617332672133, 'rss_mb': None} peak_rss_mb=None
