2026-01-27 14:03:01,293 | INFO | Run started: run_id=huffpost_years__retrain_p2_all_seen_fit__140301
2026-01-27 14:03:01,294 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260127_140236__huffpost_lr_gradual\runs\huffpost_years__retrain_p2_all_seen_fit__140301
2026-01-27 14:03:01,679 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=3000 wall=0.2908942699432373 cpu=0.265625 rss_mb=None info={'pretrain_batches': 6, 'pre_acc': 0.753, 'pre_f1_macro': 0.6370529510082109}
2026-01-27 14:03:02,072 | INFO | EVENT retrain_fit batch_id=8 reason=periodic train_n=4000 wall=0.3680851459503174 cpu=0.359375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 4000, 'global_batch_id': 8}
2026-01-27 14:03:02,410 | INFO | EVENT retrain_fit batch_id=10 reason=periodic train_n=5000 wall=0.30522632598876953 cpu=0.3125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 5000, 'global_batch_id': 10}
2026-01-27 14:03:02,715 | INFO | EVENT retrain_fit batch_id=12 reason=periodic train_n=6000 wall=0.2899346351623535 cpu=0.28125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 6000, 'global_batch_id': 12}
2026-01-27 14:03:03,112 | INFO | EVENT retrain_fit batch_id=14 reason=periodic train_n=7000 wall=0.38400912284851074 cpu=0.390625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 7000, 'global_batch_id': 14}
2026-01-27 14:03:03,543 | INFO | EVENT retrain_fit batch_id=16 reason=periodic train_n=8000 wall=0.41732335090637207 cpu=0.40625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 8000, 'global_batch_id': 16}
2026-01-27 14:03:04,055 | INFO | EVENT retrain_fit batch_id=18 reason=periodic train_n=9000 wall=0.4990808963775635 cpu=0.5 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 9000, 'global_batch_id': 18}
2026-01-27 14:03:04,549 | INFO | EVENT retrain_fit batch_id=20 reason=periodic train_n=10000 wall=0.4800412654876709 cpu=0.484375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 10000, 'global_batch_id': 20}
2026-01-27 14:03:05,152 | INFO | EVENT retrain_fit batch_id=22 reason=periodic train_n=11000 wall=0.589085578918457 cpu=0.59375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 11000, 'global_batch_id': 22}
2026-01-27 14:03:05,803 | INFO | EVENT retrain_fit batch_id=24 reason=periodic train_n=12000 wall=0.6288349628448486 cpu=0.625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 12000, 'global_batch_id': 24}
2026-01-27 14:03:06,451 | INFO | EVENT retrain_fit batch_id=26 reason=periodic train_n=13000 wall=0.6329829692840576 cpu=0.625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 13000, 'global_batch_id': 26}
2026-01-27 14:03:07,135 | INFO | EVENT retrain_fit batch_id=28 reason=periodic train_n=14000 wall=0.6672718524932861 cpu=0.65625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 22, 'buffer_size': 14000, 'global_batch_id': 28}
2026-01-27 14:03:07,919 | INFO | EVENT retrain_fit batch_id=30 reason=periodic train_n=15000 wall=0.7689206600189209 cpu=0.78125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 24, 'buffer_size': 15000, 'global_batch_id': 30}
2026-01-27 14:03:08,768 | INFO | EVENT retrain_fit batch_id=32 reason=periodic train_n=16000 wall=0.8336710929870605 cpu=0.828125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 26, 'buffer_size': 16000, 'global_batch_id': 32}
2026-01-27 14:03:09,683 | INFO | EVENT retrain_fit batch_id=34 reason=periodic train_n=17000 wall=0.8982217311859131 cpu=0.890625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 28, 'buffer_size': 17000, 'global_batch_id': 34}
2026-01-27 14:03:10,580 | INFO | EVENT retrain_fit batch_id=36 reason=periodic train_n=18000 wall=0.8805520534515381 cpu=0.890625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 30, 'buffer_size': 18000, 'global_batch_id': 36}
2026-01-27 14:03:11,527 | INFO | EVENT retrain_fit batch_id=38 reason=periodic train_n=19000 wall=0.9303951263427734 cpu=0.921875 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 32, 'buffer_size': 19000, 'global_batch_id': 38}
2026-01-27 14:03:12,609 | INFO | EVENT retrain_fit batch_id=40 reason=periodic train_n=20000 wall=1.0665998458862305 cpu=1.078125 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 34, 'buffer_size': 20000, 'global_batch_id': 40}
2026-01-27 14:03:13,730 | INFO | EVENT retrain_fit batch_id=42 reason=periodic train_n=21000 wall=1.105318307876587 cpu=1.09375 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 36, 'buffer_size': 21000, 'global_batch_id': 42}
2026-01-27 14:03:13,730 | INFO | Run finished. total={'wall_sec': 12.436711072921753, 'cpu_sec': 12.34375, 'cpu_pct': 99.25252687485717, 'rss_mb': None} peak_rss_mb=None
