2026-01-28 04:16:36,598 | INFO | Run started: run_id=BE_gradual__retrain_p2_last_window_wb2_fit__041636
2026-01-28 04:16:36,599 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041615__domain_gradual_nb\runs\BE_gradual__retrain_p2_last_window_wb2_fit__041636
2026-01-28 04:16:36,918 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.04099893569946289 cpu=0.046875 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9432, 'pre_f1_macro': 0.846040686892728}
2026-01-28 04:16:36,970 | INFO | EVENT retrain_fit batch_id=7 reason=periodic train_n=1000 wall=0.018003225326538086 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 2, 'buffer_size': 1000, 'global_batch_id': 7}
2026-01-28 04:16:37,011 | INFO | EVENT retrain_fit batch_id=9 reason=periodic train_n=1000 wall=0.016999244689941406 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 4, 'buffer_size': 1000, 'global_batch_id': 9}
2026-01-28 04:16:37,052 | INFO | EVENT retrain_fit batch_id=11 reason=periodic train_n=1000 wall=0.015999555587768555 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 6, 'buffer_size': 1000, 'global_batch_id': 11}
2026-01-28 04:16:37,087 | INFO | EVENT retrain_fit batch_id=13 reason=periodic train_n=1000 wall=0.013965368270874023 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 8, 'buffer_size': 1000, 'global_batch_id': 13}
2026-01-28 04:16:37,129 | INFO | EVENT retrain_fit batch_id=15 reason=periodic train_n=1000 wall=0.01408529281616211 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 10, 'buffer_size': 1000, 'global_batch_id': 15}
2026-01-28 04:16:37,171 | INFO | EVENT retrain_fit batch_id=17 reason=periodic train_n=1000 wall=0.014318704605102539 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 12, 'buffer_size': 1000, 'global_batch_id': 17}
2026-01-28 04:16:37,206 | INFO | EVENT retrain_fit batch_id=19 reason=periodic train_n=1000 wall=0.013774871826171875 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 14, 'buffer_size': 1000, 'global_batch_id': 19}
2026-01-28 04:16:37,249 | INFO | EVENT retrain_fit batch_id=21 reason=periodic train_n=1000 wall=0.015027284622192383 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 16, 'buffer_size': 1000, 'global_batch_id': 21}
2026-01-28 04:16:37,289 | INFO | EVENT retrain_fit batch_id=23 reason=periodic train_n=1000 wall=0.016066312789916992 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 18, 'buffer_size': 1000, 'global_batch_id': 23}
2026-01-28 04:16:37,324 | INFO | EVENT retrain_fit batch_id=25 reason=periodic train_n=1000 wall=0.014359235763549805 cpu=0.015625 rss_mb=None info={'period_batches': 2, 'stream_batches_seen': 20, 'buffer_size': 1000, 'global_batch_id': 25}
