2026-01-28 04:20:18,087 | INFO | Run started: run_id=BE_temporary__retrain_p1_last_window_wb1_update__042018
2026-01-28 04:20:18,087 | INFO | run_dir=C:\Poly\Diploma\v2\outputs\20260128_041959__domain_temporary\runs\BE_temporary__retrain_p1_last_window_wb1_update__042018
2026-01-28 04:20:18,398 | INFO | EVENT pretrain_fit batch_id=None reason=pretrain train_n=2500 wall=0.043998003005981445 cpu=0.046875 rss_mb=None info={'pretrain_batches': 5, 'pre_acc': 0.9452, 'pre_f1_macro': 0.7665352674892351}
2026-01-28 04:20:18,419 | INFO | EVENT retrain_update batch_id=6 reason=periodic train_n=500 wall=0.00799870491027832 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 1, 'buffer_size': 500, 'global_batch_id': 6}
2026-01-28 04:20:18,450 | INFO | EVENT retrain_update batch_id=7 reason=periodic train_n=500 wall=0.008995294570922852 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 2, 'buffer_size': 500, 'global_batch_id': 7}
2026-01-28 04:20:18,469 | INFO | EVENT retrain_update batch_id=8 reason=periodic train_n=500 wall=0.007997751235961914 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 3, 'buffer_size': 500, 'global_batch_id': 8}
2026-01-28 04:20:18,487 | INFO | EVENT retrain_update batch_id=9 reason=periodic train_n=500 wall=0.008001327514648438 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 4, 'buffer_size': 500, 'global_batch_id': 9}
2026-01-28 04:20:18,504 | INFO | EVENT retrain_update batch_id=10 reason=periodic train_n=500 wall=0.00699925422668457 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 5, 'buffer_size': 500, 'global_batch_id': 10}
2026-01-28 04:20:18,523 | INFO | EVENT retrain_update batch_id=11 reason=periodic train_n=500 wall=0.007999897003173828 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 6, 'buffer_size': 500, 'global_batch_id': 11}
2026-01-28 04:20:18,544 | INFO | EVENT retrain_update batch_id=12 reason=periodic train_n=500 wall=0.00800013542175293 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 7, 'buffer_size': 500, 'global_batch_id': 12}
2026-01-28 04:20:18,558 | INFO | EVENT retrain_update batch_id=13 reason=periodic train_n=500 wall=0.004992961883544922 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 8, 'buffer_size': 500, 'global_batch_id': 13}
2026-01-28 04:20:18,574 | INFO | EVENT retrain_update batch_id=14 reason=periodic train_n=500 wall=0.006002902984619141 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 9, 'buffer_size': 500, 'global_batch_id': 14}
2026-01-28 04:20:18,588 | INFO | EVENT retrain_update batch_id=15 reason=periodic train_n=500 wall=0.006005048751831055 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 10, 'buffer_size': 500, 'global_batch_id': 15}
2026-01-28 04:20:18,605 | INFO | EVENT retrain_update batch_id=16 reason=periodic train_n=500 wall=0.005999326705932617 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 11, 'buffer_size': 500, 'global_batch_id': 16}
2026-01-28 04:20:18,619 | INFO | EVENT retrain_update batch_id=17 reason=periodic train_n=500 wall=0.005999326705932617 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 12, 'buffer_size': 500, 'global_batch_id': 17}
2026-01-28 04:20:18,633 | INFO | EVENT retrain_update batch_id=18 reason=periodic train_n=500 wall=0.005999326705932617 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 13, 'buffer_size': 500, 'global_batch_id': 18}
2026-01-28 04:20:18,647 | INFO | EVENT retrain_update batch_id=19 reason=periodic train_n=500 wall=0.0060002803802490234 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 14, 'buffer_size': 500, 'global_batch_id': 19}
2026-01-28 04:20:18,661 | INFO | EVENT retrain_update batch_id=20 reason=periodic train_n=500 wall=0.0060024261474609375 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 15, 'buffer_size': 500, 'global_batch_id': 20}
2026-01-28 04:20:18,676 | INFO | EVENT retrain_update batch_id=21 reason=periodic train_n=500 wall=0.005999326705932617 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 16, 'buffer_size': 500, 'global_batch_id': 21}
2026-01-28 04:20:18,692 | INFO | EVENT retrain_update batch_id=22 reason=periodic train_n=500 wall=0.006002187728881836 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 17, 'buffer_size': 500, 'global_batch_id': 22}
2026-01-28 04:20:18,705 | INFO | EVENT retrain_update batch_id=23 reason=periodic train_n=500 wall=0.004998207092285156 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 18, 'buffer_size': 500, 'global_batch_id': 23}
2026-01-28 04:20:18,719 | INFO | EVENT retrain_update batch_id=24 reason=periodic train_n=500 wall=0.004999399185180664 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 19, 'buffer_size': 500, 'global_batch_id': 24}
2026-01-28 04:20:18,737 | INFO | EVENT retrain_update batch_id=25 reason=periodic train_n=500 wall=0.006998777389526367 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 20, 'buffer_size': 500, 'global_batch_id': 25}
2026-01-28 04:20:18,755 | INFO | EVENT retrain_update batch_id=26 reason=periodic train_n=500 wall=0.00799870491027832 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 21, 'buffer_size': 500, 'global_batch_id': 26}
2026-01-28 04:20:18,776 | INFO | EVENT retrain_update batch_id=27 reason=periodic train_n=500 wall=0.008001565933227539 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 22, 'buffer_size': 500, 'global_batch_id': 27}
2026-01-28 04:20:18,802 | INFO | EVENT retrain_update batch_id=28 reason=periodic train_n=500 wall=0.009003162384033203 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 23, 'buffer_size': 500, 'global_batch_id': 28}
2026-01-28 04:20:18,820 | INFO | EVENT retrain_update batch_id=29 reason=periodic train_n=500 wall=0.007999181747436523 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 24, 'buffer_size': 500, 'global_batch_id': 29}
2026-01-28 04:20:18,839 | INFO | EVENT retrain_update batch_id=30 reason=periodic train_n=500 wall=0.007997512817382812 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 25, 'buffer_size': 500, 'global_batch_id': 30}
2026-01-28 04:20:18,860 | INFO | EVENT retrain_update batch_id=31 reason=periodic train_n=500 wall=0.009003400802612305 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 26, 'buffer_size': 500, 'global_batch_id': 31}
2026-01-28 04:20:18,881 | INFO | EVENT retrain_update batch_id=32 reason=periodic train_n=500 wall=0.008000373840332031 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 27, 'buffer_size': 500, 'global_batch_id': 32}
2026-01-28 04:20:18,901 | INFO | EVENT retrain_update batch_id=33 reason=periodic train_n=500 wall=0.009000778198242188 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 28, 'buffer_size': 500, 'global_batch_id': 33}
2026-01-28 04:20:18,920 | INFO | EVENT retrain_update batch_id=34 reason=periodic train_n=500 wall=0.006999969482421875 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 29, 'buffer_size': 500, 'global_batch_id': 34}
2026-01-28 04:20:18,940 | INFO | EVENT retrain_update batch_id=35 reason=periodic train_n=500 wall=0.009995460510253906 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 30, 'buffer_size': 500, 'global_batch_id': 35}
2026-01-28 04:20:18,962 | INFO | EVENT retrain_update batch_id=36 reason=periodic train_n=500 wall=0.009000301361083984 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 31, 'buffer_size': 500, 'global_batch_id': 36}
2026-01-28 04:20:18,982 | INFO | EVENT retrain_update batch_id=37 reason=periodic train_n=500 wall=0.007998943328857422 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 32, 'buffer_size': 500, 'global_batch_id': 37}
2026-01-28 04:20:19,001 | INFO | EVENT retrain_update batch_id=38 reason=periodic train_n=500 wall=0.007999420166015625 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 33, 'buffer_size': 500, 'global_batch_id': 38}
2026-01-28 04:20:19,021 | INFO | EVENT retrain_update batch_id=39 reason=periodic train_n=500 wall=0.008999109268188477 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 34, 'buffer_size': 500, 'global_batch_id': 39}
2026-01-28 04:20:19,040 | INFO | EVENT retrain_update batch_id=40 reason=periodic train_n=500 wall=0.007999897003173828 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 35, 'buffer_size': 500, 'global_batch_id': 40}
2026-01-28 04:20:19,062 | INFO | EVENT retrain_update batch_id=41 reason=periodic train_n=500 wall=0.010007143020629883 cpu=0.015625 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 36, 'buffer_size': 500, 'global_batch_id': 41}
2026-01-28 04:20:19,083 | INFO | EVENT retrain_update batch_id=42 reason=periodic train_n=500 wall=0.008200883865356445 cpu=0.0 rss_mb=None info={'period_batches': 1, 'stream_batches_seen': 37, 'buffer_size': 500, 'global_batch_id': 42}
