text,label,year
you can't unsee jim carrey's naked trump 'urine sample' artwork,4,2018
jimmy fallon tells tina fey he hopes his daughters grow up to be like her,4,2018
adam rippon will be first openly gay u.s. man to compete in the winter olympics,6,2018
#whatblackpanthermeanstome stresses the power of seeing black glory in film,0,2018
so did a major negan twist slyly happen on 'walking dead'?,4,2018
john goodman's audition and how he got the role on 'roseanne',4,2018
jimmy kimmel suggests perfect name for donald trump's fake news awards,2,2018
nfl names pizza hut its new official pizza sponsor after dropping papa john's,8,2018
tom hardy is completely unrecognizable as al capone for new movie,4,2018
the sec just made the case for divesting from fossil fuel companies much stronger,1,2018
"13 siblings 'held captive' by parents, some in chains and starving, police say",3,2018
costa rica's first same-sex marriage suffers bureaucratic hitch,6,2018
5 netflix shows to watch if you like ‘game of thrones’,4,2018
'this is us' is finally going to tell us how jack died,4,2018
"a tiny, mocking voice rules donald trump's mind in 'late night' gag",2,2018
emilia clarke should never try to imitate chewbacca ever again,4,2018
trevor noah gives michael cohen a biting new 'breaking bad'-themed nickname,2,2018
photographer gets absolutely flattened on the final play of the game,8,2018
india's supreme court will reconsider its 2013 gay sex ban,6,2018
john oliver: trump and giuliani have something in common and it's gross,2,2018
bill maher: america must 'start penalizing liars' like donald trump,2,2018
serena williams is also a total badass at ax throwing,4,2018
jordan klepper has just 1 question for the nra,2,2018
will ferrell and molly shannon cover the royal wedding as 'cord and tish',4,2018
police killed at least 378 black americans from the moment colin kaepernick protested,0,2018
teddy geiger makes first public appearance since coming out as transgender,6,2018
keanu reeves and alex winter are coming back for ‘bill & ted 3' after 27 years,4,2018
stephen colbert does some porn star math for michael cohen and donald trump,2,2018
"lena waithe's comedy, centered on a queer black woman, is coming to tbs",0,2018
'master of none' star lena waithe featured on new vanity fair cover,0,2018
"there's now a study backing up link between police shootings, racial segregation",0,2018
bill hader calls justin bieber the worst-behaved 'snl' guest,4,2018
seth meyers brutally dissects one of donald trump's weirdest speeches yet,2,2018
ellen degeneres and portia de rossi share a birthday kiss,4,2018
john krasinski just wants to be honest,4,2018
oprah winfrey's video shows mudslide impact on her home,4,2018
the best comeback story at westminster dog show sadly ends on day one,8,2018
quentin tarantino once said 13-year-old raped by roman polanski 'wanted to have it',4,2018
ellen degeneres hilariously explains how she saved meghan markle’s life,4,2018
"here's a first look at 'pose,' ryan murphy's inclusive, history-making show",6,2018
winter olympics organizers probe possible cyberattack on opening ceremony day,9,2018
about that time dax shepard had to 'nurse' from kristen bell's breast,4,2018
mom of racist-ranting alabama student says she didn't raise her that way,0,2018
jennifer lawrence doesn't regret dropping out of middle school at 14,4,2018
will smith joins diplo and nicky jam for the 2018 world cup's official song,4,2018
u.s. men's olympic hockey team ends olympic run with loss to czechs,8,2018
queer students celebrate valentine's day by sharing first kiss stories,6,2018
jada pinkett smith gets real about dating will smith while he was married,4,2018
andie macdowell climbed the hollywood ladder. then she decided she'd rather be 'normal.',4,2018
older gay men try out 'new gay' slang in this hilarious video,6,2018
'jessica jones' season 2 trailer drops (and she's back with a vengeance),4,2018
ariana grande and jimmy fallon make sweet music with cardboard instruments,4,2018
"for the modeling industry, the future is transgender",6,2018
olympic figure skater expertly removes sunglasses to reveal second pair of sunglasses,4,2018
7 secrets self-made millionaires teach their kids,1,2018
scarlett johansson slams james franco for support of time's up at women's march,4,2018
cardi b says she kept her pregnancy a secret because people are 'so thirsty',4,2018
"14 ways to make family road trips easier, from parents who've been there",10,2018
jemele hill: chris berman 'never left any racially disparaging remarks on my voicemail',0,2018
coaches suspended after participating in lgbtq pride game,6,2018
"art bell, paranormal radio show host, dies at 72",4,2018
chloë sevigny’s lizzie borden biopic isn’t the ax murderer movie she originally imagined,4,2018
what a queen wants: christina aguilera surprises cast on 'rupaul's drag race' season 10 premiere,6,2018
justin timberlake brings selfie kid to tears with an even better surprise,4,2018
donald glover fans execute stunning coup on donald trump-themed reddit forum,0,2018
chris cornell's widow says singer would 'never have ever left this world',4,2018
oldest known man in america says he smokes a dozen cigars a day,0,2018
twitter loses it over rudy giuliani's bonkers fox news interview about trump,2,2018
wild brawls turn carnival ship into 'cruise from hell',10,2018
cnn's jake tapper calls patriots a 'cheating team',8,2018
"'before you call the cops' on him, watch his powerful monologue on racism",0,2018
"break out the book of shadows, the 'charmed' reboot trailer is here",4,2018
chrissy teigen and john legend are having a baby boy,4,2018
you're going to use that self-checkout machine whether you like it or not,5,2018
bronx teacher investigated after reports she stepped on black student in slavery lesson,0,2018
broadway star ruthie ann miles out of icu after crash that killed her 4-year-old daughter,4,2018
'simpsons' creator on apu debate: 'people love to pretend they're offended',4,2018
how humans are laying out the welcome mat for mosquitoes and the diseases they carry,5,2018
you might have missed this harsh 'snl' diss of eagles and patriots fans,2,2018
"'you raped women, bill cosby': how a bit in hannibal buress's standup led to the takedown of an icon",4,2018
"with 'this close,' josh feldman puts deaf, gay lives in the spotlight",6,2018
jimmy kimmel says paul ryan will have 1 retirement regret,2,2018
"kanye west calls slavery a ‘choice,’ gets schooled on history",4,2018
samira wiley says 'handmaid's tale' season 2 will show parts of gilead we've never seen,4,2018
a prince tribute bloomed and gave the late singer the crown he deserves,4,2018
nigerian bobsled team brought something more valuable than gold to the olympics,0,2018
bachelor 'robert mueller' can't commit to trump collusion in heartbreaking 'snl',2,2018
justin timberlake is the new face of dad-pop,4,2018
kelly ripa says 'thoughts and prayers are not enough anymore' after deadly mass shooting,4,2018
famed dj avicii dies at 28,4,2018
